date,open,high,close,low,volume,p_change
2020-07-13,5.2,5.34,5.3,5.17,2874818.25,2.12
2020-07-14,5.3,5.72,5.69,5.26,8452864.0,7.36
2020-07-15,5.6,5.61,5.36,5.3,5681266.5,-5.8
2020-07-16,5.32,5.36,5.16,5.15,3211236.0,-3.73
2020-07-17,5.2,5.22,5.15,5.11,1623215.5,-0.19
2020-07-20,5.16,5.3,5.3,5.16,2268270.0,2.91
2020-07-21,5.31,5.34,5.26,5.21,1594590.88,-0.76
2020-07-22,5.26,5.3,5.24,5.21,1675865.38,-0.38
2020-07-23,5.2,5.25,5.24,5.11,1979453.5,0.0
2020-07-24,5.2,5.22,5.1,5.09,1786137.62,-2.67
2020-07-27,5.12,5.13,5.07,5.04,997777.62,-0.59
2020-07-28,5.09,5.12,5.08,5.06,749768.25,0.2
2020-07-29,5.08,5.15,5.15,5.05,1110189.62,1.38
2020-07-30,5.14,5.16,5.09,5.09,827505.44,-1.17
2020-07-31,5.08,5.14,5.08,5.04,1256092.88,-0.2
2020-08-03,5.09,5.18,5.17,5.09,1652219.25,1.77
2020-08-04,5.18,5.2,5.17,5.12,1445665.38,0.0
2020-08-05,5.16,5.16,5.12,5.1,1183426.12,-0.97
2020-08-06,5.12,5.13,5.1,5.06,1193594.38,-0.39
2020-08-07,5.08,5.08,5.03,5.01,1315948.5,-1.37
2020-08-10,5.03,5.11,5.1,5.02,1206669.12,1.39
2020-08-11,5.11,5.14,5.06,5.05,1183359.62,-0.78
2020-08-12,5.04,5.11,5.1,5.03,1097415.12,0.79
2020-08-13,5.23,5.35,5.31,5.2,4815210.0,4.12
2020-08-14,5.3,5.34,5.32,5.22,2803149.75,0.19
2020-08-17,5.31,5.38,5.34,5.25,2419876.75,0.38
2020-08-18,5.33,5.53,5.42,5.3,3692295.25,1.5
2020-08-19,5.48,5.59,5.39,5.38,3537578.25,-0.55
2020-08-20,5.31,5.43,5.31,5.29,1966635.25,-1.48
2020-08-21,5.36,5.4,5.35,5.3,1381224.0,0.75
2020-08-24,5.35,5.38,5.3,5.28,1277338.5,-0.94
2020-08-25,5.3,5.32,5.23,5.21,1308571.25,-1.32
2020-08-26,5.21,5.29,5.25,5.2,1669091.62,0.38
2020-08-27,5.24,5.26,5.2,5.16,1059542.5,-0.95
2020-08-28,5.2,5.23,5.22,5.14,1250381.12,0.39
2020-08-31,5.21,5.27,5.19,5.16,1284772.25,-0.57
2020-09-01,5.16,5.18,5.17,5.13,1064185.12,-0.39
2020-09-02,5.17,5.18,5.13,5.11,1078429.75,-0.77
2020-09-03,5.14,5.17,5.12,5.11,988712.56,-0.2
2020-09-04,5.09,5.1,5.09,5.07,914154.5,-0.59
2020-09-07,5.09,5.12,5.06,5.05,837184.19,-0.59
2020-09-08,5.08,5.13,5.12,5.05,904100.31,1.19
2020-09-09,5.07,5.13,5.08,5.06,1009022.88,-0.78
2020-09-10,5.12,5.14,5.04,5.01,1163062.0,-0.79
2020-09-11,5.01,5.05,5.03,4.99,733273.5,-0.2
2020-09-14,5.04,5.07,5.06,5.02,648723.25,0.6
2020-09-15,5.06,5.07,5.03,5.01,742850.75,-0.59
2020-09-16,5.03,5.06,5.03,5.0,636858.56,0.0
2020-09-17,5.03,5.03,5.01,5.0,633512.31,-0.4
2020-09-18,5.02,5.1,5.1,5.01,993726.75,1.8
2020-09-21,5.1,5.1,5.06,5.05,617139.12,-0.78
2020-09-22,5.05,5.06,5.02,5.01,637256.75,-0.79
2020-09-23,5.03,5.04,5.01,5.0,571430.94,-0.2
2020-09-24,5.0,5.01,4.92,4.92,951351.19,-1.8
2020-09-25,4.94,4.95,4.91,4.89,579070.12,-0.2
2020-09-28,4.91,4.93,4.86,4.86,514232.75,-1.02
2020-09-29,4.87,4.9,4.86,4.85,591327.75,0.0
2020-09-30,4.87,4.88,4.85,4.83,519668.81,-0.21
2020-10-09,4.9,4.93,4.92,4.88,634301.25,1.44
2020-10-12,4.93,5.0,5.0,4.92,789238.75,1.63
2020-10-13,5.0,5.0,4.97,4.94,658066.44,-0.6
2020-10-14,4.97,4.98,4.97,4.94,575764.31,0.0
2020-10-15,4.96,4.97,4.92,4.92,529394.25,-1.01
2020-10-16,4.93,4.94,4.93,4.91,388283.06,0.2
2020-10-19,4.99,5.03,4.93,4.92,813932.12,0.0
2020-10-20,4.92,4.96,4.95,4.89,499141.16,0.41
2020-10-21,4.95,5.1,5.09,4.93,2243934.0,2.83
2020-10-22,5.02,5.02,4.95,4.92,1595239.75,-2.75
2020-10-23,4.94,4.96,4.92,4.91,723968.06,-0.61
2020-10-26,4.92,4.96,4.92,4.91,645153.94,0.0
2020-10-27,4.9,4.91,4.89,4.88,557911.0,-0.61
2020-10-28,4.88,4.89,4.85,4.83,722227.94,-0.82
2020-10-29,4.81,4.86,4.83,4.8,493567.88,-0.41
2020-10-30,4.83,4.86,4.77,4.75,926842.62,-1.24
2020-11-02,4.76,4.79,4.71,4.66,834187.75,-1.26
2020-11-03,4.71,4.86,4.82,4.71,723237.81,2.33
2020-11-04,4.82,4.83,4.78,4.76,539271.31,-0.83
2020-11-05,4.81,4.88,4.87,4.8,774682.0,1.88
2020-11-06,4.88,4.9,4.88,4.85,639862.5,0.2
2020-11-09,4.92,4.95,4.93,4.91,945494.62,1.02
2020-11-10,4.95,4.95,4.87,4.86,690981.5,-1.22
2020-11-11,4.86,4.94,4.92,4.82,933112.0,1.03
2020-11-12,4.91,4.93,4.85,4.84,638872.62,-1.42
